Feature,Duration,ATE,Type
Radial Distance from Sun,10,-0.0724715076307091,IBS_N
Electronic Box Temperature,10,-1.8789730208007245,IBS_N
Solar Wind Analyser temperature,10,5.873292805560828,IBS_N
Out Board Sensor Temperature,10,12.774315512543664,IBS_N
In Board Sensor Temperature,10,4.119414920287634,IBS_N
Out Board Sensor minus In Board Sensor Temp.,10,19.09780054218529,IBS_N
Heater Dutycycle,10,-0.4568791661952545,IBS_N
Search Coil Magnetometer's Temperature,10,0.1938729912825328,IBS_N
Solar Array's Angle,10,20.52155689172435,IBS_N
High Gain Antenna Azimuth,10,-0.26066538251436,IBS_N
High Gain Antenna elevation,10,-11.381452715099488,IBS_N
Radial Distance from Sun,20,-0.0565188619061649,IBS_N
Electronic Box Temperature,20,2.9875448011190566,IBS_N
Solar Wind Analyser temperature,20,-0.3565222939114059,IBS_N
Out Board Sensor Temperature,20,-5.579959848081668,IBS_N
In Board Sensor Temperature,20,-6.868613985061876,IBS_N
Out Board Sensor minus In Board Sensor Temp.,20,8.630687444653452,IBS_N
Heater Dutycycle,20,-0.0053315985815727,IBS_N
Search Coil Magnetometer's Temperature,20,-3.099446070757681,IBS_N
Solar Array's Angle,20,-23.20672107646582,IBS_N
High Gain Antenna Azimuth,20,1.9839302413037447,IBS_N
High Gain Antenna elevation,20,-12.307202912834788,IBS_N
Radial Distance from Sun,30,-0.0670418740668214,IBS_N
Electronic Box Temperature,30,-3.988493612433005,IBS_N
Solar Wind Analyser temperature,30,-0.8973753577114827,IBS_N
Out Board Sensor Temperature,30,1.091259818786371,IBS_N
In Board Sensor Temperature,30,8.605971903106516,IBS_N
Out Board Sensor minus In Board Sensor Temp.,30,6.2034789890488335,IBS_N
Heater Dutycycle,30,-1.0033984852489033,IBS_N
Search Coil Magnetometer's Temperature,30,-4.493973462234038,IBS_N
Solar Array's Angle,30,-27.165876613329768,IBS_N
High Gain Antenna Azimuth,30,-9.66267252721244,IBS_N
High Gain Antenna elevation,30,-29.91801207693723,IBS_N
Radial Distance from Sun,40,-0.0272882760512667,IBS_N
Electronic Box Temperature,40,-12.16544222995145,IBS_N
Solar Wind Analyser temperature,40,-1.8856289713487344,IBS_N
Out Board Sensor Temperature,40,-7.304495240815484,IBS_N
In Board Sensor Temperature,40,-1.2044048134615102,IBS_N
Out Board Sensor minus In Board Sensor Temp.,40,0.046354728797554,IBS_N
Heater Dutycycle,40,-0.5295405960142957,IBS_N
Search Coil Magnetometer's Temperature,40,-2.4819456485250977,IBS_N
Solar Array's Angle,40,-12.03379810709049,IBS_N
High Gain Antenna Azimuth,40,-15.579239472953056,IBS_N
High Gain Antenna elevation,40,-24.457191675854958,IBS_N
Radial Distance from Sun,50,-0.0497154010872027,IBS_N
Electronic Box Temperature,50,-2.657636148830337,IBS_N
Solar Wind Analyser temperature,50,-3.4634815438294275,IBS_N
Out Board Sensor Temperature,50,-2.4337364775431136,IBS_N
In Board Sensor Temperature,50,-4.296105753967049,IBS_N
Out Board Sensor minus In Board Sensor Temp.,50,13.021978959711216,IBS_N
Heater Dutycycle,50,-0.5886870386571076,IBS_N
Search Coil Magnetometer's Temperature,50,-5.1763421535316185,IBS_N
Solar Array's Angle,50,11.072669283227794,IBS_N
High Gain Antenna Azimuth,50,-4.975862107429034,IBS_N
High Gain Antenna elevation,50,-6.022344583797764,IBS_N
Radial Distance from Sun,60,-0.0239851007131004,IBS_N
Electronic Box Temperature,60,6.766646448524691,IBS_N
Solar Wind Analyser temperature,60,-1.0757136042250794,IBS_N
Out Board Sensor Temperature,60,-9.029695936412018,IBS_N
In Board Sensor Temperature,60,9.700024077177927,IBS_N
Out Board Sensor minus In Board Sensor Temp.,60,12.221868691510416,IBS_N
Heater Dutycycle,60,-0.2308063805799335,IBS_N
Search Coil Magnetometer's Temperature,60,-3.556059858004132,IBS_N
Solar Array's Angle,60,25.99297992818468,IBS_N
High Gain Antenna Azimuth,60,-7.356386441389749,IBS_N
High Gain Antenna elevation,60,9.153582790971274,IBS_N
Radial Distance from Sun,70,0.0341656296167916,IBS_N
Electronic Box Temperature,70,4.964216509352453,IBS_N
Solar Wind Analyser temperature,70,-2.7159609268430405,IBS_N
Out Board Sensor Temperature,70,8.282412413359628,IBS_N
In Board Sensor Temperature,70,36.57941106228204,IBS_N
Out Board Sensor minus In Board Sensor Temp.,70,14.911215705056048,IBS_N
Heater Dutycycle,70,-0.9419652419746176,IBS_N
Search Coil Magnetometer's Temperature,70,-7.227838550818222,IBS_N
Solar Array's Angle,70,21.602457696114147,IBS_N
High Gain Antenna Azimuth,70,-6.787249921059582,IBS_N
High Gain Antenna elevation,70,-4.315093092002635,IBS_N
Radial Distance from Sun,80,-0.0213366466232638,IBS_N
Electronic Box Temperature,80,7.246183527946373,IBS_N
Solar Wind Analyser temperature,80,-0.5841148170059738,IBS_N
Out Board Sensor Temperature,80,0.576667424639436,IBS_N
In Board Sensor Temperature,80,22.530667977679453,IBS_N
Out Board Sensor minus In Board Sensor Temp.,80,40.15699611977608,IBS_N
Heater Dutycycle,80,-0.0876784508835205,IBS_N
Search Coil Magnetometer's Temperature,80,-5.426628377700447,IBS_N
Solar Array's Angle,80,37.27751038733542,IBS_N
High Gain Antenna Azimuth,80,-2.861631857577568,IBS_N
High Gain Antenna elevation,80,18.553752114936188,IBS_N
Radial Distance from Sun,90,-0.0153558405593979,IBS_N
Electronic Box Temperature,90,9.227142822458555,IBS_N
Solar Wind Analyser temperature,90,0.8470890853098084,IBS_N
Out Board Sensor Temperature,90,8.203366164011241,IBS_N
In Board Sensor Temperature,90,2.8127455388329747,IBS_N
Out Board Sensor minus In Board Sensor Temp.,90,20.845913630563963,IBS_N
Heater Dutycycle,90,-0.0444193317272224,IBS_N
Search Coil Magnetometer's Temperature,90,-3.038083240363671,IBS_N
Solar Array's Angle,90,38.25072375250912,IBS_N
High Gain Antenna Azimuth,90,0.4926846342110258,IBS_N
High Gain Antenna elevation,90,16.26875934346431,IBS_N
Radial Distance from Sun,100,-0.0167324707232058,IBS_N
Electronic Box Temperature,100,1.3424426499329356,IBS_N
Solar Wind Analyser temperature,100,-0.4007108242127977,IBS_N
Out Board Sensor Temperature,100,20.88247495665664,IBS_N
In Board Sensor Temperature,100,-28.1015187262122,IBS_N
Out Board Sensor minus In Board Sensor Temp.,100,44.66727720969516,IBS_N
Heater Dutycycle,100,-0.2385690616909473,IBS_N
Search Coil Magnetometer's Temperature,100,-1.2484225865432017,IBS_N
Solar Array's Angle,100,13.258249085536605,IBS_N
High Gain Antenna Azimuth,100,-4.424574864809605,IBS_N
High Gain Antenna elevation,100,11.005461463240442,IBS_N
Radial Distance from Sun,110,-0.0400511417854331,IBS_N
Electronic Box Temperature,110,1.751495427941948,IBS_N
Solar Wind Analyser temperature,110,-1.049166061550457,IBS_N
Out Board Sensor Temperature,110,30.9194527045414,IBS_N
In Board Sensor Temperature,110,8.100298112847454,IBS_N
Out Board Sensor minus In Board Sensor Temp.,110,13.342709025890375,IBS_N
Heater Dutycycle,110,-0.2781178173122539,IBS_N
Search Coil Magnetometer's Temperature,110,0.3327222486748754,IBS_N
Solar Array's Angle,110,83.53247309794307,IBS_N
High Gain Antenna Azimuth,110,7.046445504919394,IBS_N
High Gain Antenna elevation,110,-0.0158274246744648,IBS_N
Radial Distance from Sun,120,-0.0628139179888029,IBS_N
Electronic Box Temperature,120,8.969491858913502,IBS_N
Solar Wind Analyser temperature,120,1.7298504281228166,IBS_N
Out Board Sensor Temperature,120,5.786354636634642,IBS_N
In Board Sensor Temperature,120,-7.24023178766241,IBS_N
Out Board Sensor minus In Board Sensor Temp.,120,19.45236504842695,IBS_N
Heater Dutycycle,120,-0.3244650086221128,IBS_N
Search Coil Magnetometer's Temperature,120,0.7073251381517174,IBS_N
Solar Array's Angle,120,41.89286366760143,IBS_N
High Gain Antenna Azimuth,120,-4.307756945460668,IBS_N
High Gain Antenna elevation,120,10.902604746225542,IBS_N
Radial Distance from Sun,130,-0.0642247285739226,IBS_N
Electronic Box Temperature,130,24.66652261642343,IBS_N
Solar Wind Analyser temperature,130,0.8764042843463362,IBS_N
Out Board Sensor Temperature,130,-6.188072167476147,IBS_N
In Board Sensor Temperature,130,10.662432140900354,IBS_N
Out Board Sensor minus In Board Sensor Temp.,130,-5.230370486056129,IBS_N
Heater Dutycycle,130,0.379201667746772,IBS_N
Search Coil Magnetometer's Temperature,130,-4.702313055643044,IBS_N
Solar Array's Angle,130,23.923070777984424,IBS_N
High Gain Antenna Azimuth,130,18.837007717040013,IBS_N
High Gain Antenna elevation,130,16.901078993039544,IBS_N
Radial Distance from Sun,140,-0.0864664490963209,IBS_N
Electronic Box Temperature,140,4.803215463542264,IBS_N
Solar Wind Analyser temperature,140,-1.609731163777235,IBS_N
Out Board Sensor Temperature,140,11.217377536189916,IBS_N
In Board Sensor Temperature,140,18.82181118599347,IBS_N
Out Board Sensor minus In Board Sensor Temp.,140,14.15330096478367,IBS_N
Heater Dutycycle,140,-0.4508314265113835,IBS_N
Search Coil Magnetometer's Temperature,140,-5.835558938887164,IBS_N
Solar Array's Angle,140,34.592857910645854,IBS_N
High Gain Antenna Azimuth,140,1.6766796997481168,IBS_N
High Gain Antenna elevation,140,0.1975005876373803,IBS_N
Radial Distance from Sun,150,-0.0972486047714435,IBS_N
Electronic Box Temperature,150,-0.4927090673156162,IBS_N
