Feature,Duration,ATE,Type
Radial Distance from Sun(AU),5,0.1141205279023409,IBS_N
Electronic Box Temperature(DegC),5,0.0865663755354834,IBS_N
Solar Wind Analyser temperature(DegC),5,0.0,IBS_N
Out Board Sensor Temperature(Deg C),5,0.0887811305046568,IBS_N
In Board Sensor Temperature(Deg C),5,-0.1533138735049421,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),5,0.0,IBS_N
Heater Dutycycle,5,-0.005344915644252,IBS_N
Search Coil Magnetometer's Temperature(Deg C),5,-0.0598617329821637,IBS_N
Solar Array's Angle(Deg),5,0.0,IBS_N
High Gain Antenna Azimuth(Deg),5,0.0,IBS_N
High Gain Antenna elevation(Deg),5,0.0,IBS_N
Radial Distance from Sun(AU),10,0.1117415369650276,IBS_N
Electronic Box Temperature(DegC),10,0.017110413691624,IBS_N
Solar Wind Analyser temperature(DegC),10,0.0,IBS_N
Out Board Sensor Temperature(Deg C),10,0.066495931633084,IBS_N
In Board Sensor Temperature(Deg C),10,-0.2910614615956281,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),10,0.0,IBS_N
Heater Dutycycle,10,-0.0836576807706004,IBS_N
Search Coil Magnetometer's Temperature(Deg C),10,-0.1207699290518704,IBS_N
Solar Array's Angle(Deg),10,0.0,IBS_N
High Gain Antenna Azimuth(Deg),10,0.0,IBS_N
High Gain Antenna elevation(Deg),10,0.0,IBS_N
Radial Distance from Sun(AU),15,-0.1363453904207734,IBS_N
Electronic Box Temperature(DegC),15,0.2039761599427119,IBS_N
Solar Wind Analyser temperature(DegC),15,0.0,IBS_N
Out Board Sensor Temperature(Deg C),15,-0.2452484310612765,IBS_N
In Board Sensor Temperature(Deg C),15,-0.1796269811318182,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),15,0.0,IBS_N
Heater Dutycycle,15,-0.0771957685679139,IBS_N
Search Coil Magnetometer's Temperature(Deg C),15,-0.1955599879765076,IBS_N
Solar Array's Angle(Deg),15,0.0,IBS_N
High Gain Antenna Azimuth(Deg),15,0.0,IBS_N
High Gain Antenna elevation(Deg),15,0.0,IBS_N
Radial Distance from Sun(AU),20,-0.2253971095148979,IBS_N
Electronic Box Temperature(DegC),20,0.2366672268216988,IBS_N
Solar Wind Analyser temperature(DegC),20,0.0,IBS_N
Out Board Sensor Temperature(Deg C),20,-0.1634639876688577,IBS_N
In Board Sensor Temperature(Deg C),20,0.0549197379779529,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),20,0.0,IBS_N
Heater Dutycycle,20,-0.0573868456862489,IBS_N
Search Coil Magnetometer's Temperature(Deg C),20,0.1889258079984463,IBS_N
Solar Array's Angle(Deg),20,0.0,IBS_N
High Gain Antenna Azimuth(Deg),20,0.0,IBS_N
High Gain Antenna elevation(Deg),20,0.0,IBS_N
Radial Distance from Sun(AU),25,-0.2807654747402009,IBS_N
Electronic Box Temperature(DegC),25,0.3722658361775898,IBS_N
Solar Wind Analyser temperature(DegC),25,0.0,IBS_N
Out Board Sensor Temperature(Deg C),25,-0.2967597980762604,IBS_N
In Board Sensor Temperature(Deg C),25,0.2277264021691195,IBS_N
